name,url,country,article_title,revision_id
Barbara Eibinger-Miedl,https://en.wikipedia.org/wiki/Barbara_Eibinger-Miedl,Austria,Barbara_Eibinger-Miedl,
Mehrali Gasimov,https://en.wikipedia.org/wiki/Mehrali_Gasimov,Azerbaijan,Mehrali_Gasimov,
Kyaw Myint,https://en.wikipedia.org/wiki/Kyaw_Myint,Myanmar,Kyaw_Myint,
André Ngongang Ouandji,https://en.wikipedia.org/wiki/André_Ngongang_Ouandji,Cameroon,André_Ngongang_Ouandji,
Tomás Pimentel,https://en.wikipedia.org/wiki/Tomás_Pimentel,Dominican Republic,Tomás_Pimentel,
Richard Sumah,https://en.wikipedia.org/wiki/Richard_Sumah,Ghana,Richard_Sumah,
Segun ''Aeroland'' Adewale,https://en.wikipedia.org/wiki/Segun_''Aeroland''_Adewale,Nigeria,Segun_''Aeroland''_Adewale,
Bashir Bililiqo,https://en.wikipedia.org/wiki/Bashir_Bililiqo,Somalia,Bashir_Bililiqo,
